simplename	broad_host	collection_date	isolation_source	location	host	strain	SRR	SRA	Sample name	BioSample	name1	name2
GCA_001221705.1	porcine	2003	unknown	United Kingdom: Scotland	porcine	V113	ERR170669	ERS136102		SAMEA1521983	GCA_001221705.1|porcine|2003	ERR170669|porcine|2003
GCA_001220725.1	bovine	2004	unknown	United Kingdom: Scotland	bovine	V114	ERR170670	ERS135971		SAMEA1521960	GCA_001220725.1|bovine|2004	ERR170670|bovine|2004
GCA_001218225.1	human	2005	unknown	United Kingdom: Scotland	Homo sapiens	H143	ERR170671	ERS135972		SAMEA1521963	GCA_001218225.1|human|2005	ERR170671|human|2005
GCA_001220245.1	human	2005	unknown	United Kingdom: Scotland	Homo sapiens	H144	ERR170672	ERS136070		SAMEA1522047	GCA_001220245.1|human|2005	ERR170672|human|2005
GCA_001091445.1	human	2001	unknown	Canada	Homo sapiens	CH1	ERR211838	ERS157201		SAMEA1568548	GCA_001091445.1|human|2001	ERR211838|human|2001
GCA_001350115.1	human	2001	unknown	Canada	Homo sapiens	CH2	ERR211839	ERS157202		SAMEA1568516	GCA_001350115.1|human|2001	ERR211839|human|2001
GCA_001350195.1	human	2001	unknown	Canada	Homo sapiens	CH3	ERR211840	ERS157203		SAMEA1568529	GCA_001350195.1|human|2001	ERR211840|human|2001
GCA_001154585.1	human	2001	unknown	Canada	Homo sapiens	CH4	ERR211841	ERS157204		SAMEA1568493	GCA_001154585.1|human|2001	ERR211841|human|2001
GCA_001096565.1	human	2001	unknown	Canada	Homo sapiens	CH5	ERR211842	ERS157205		SAMEA1568512	GCA_001096565.1|human|2001	ERR211842|human|2001
GCA_001102665.1	human	2001	unknown	Canada	Homo sapiens	CH6	ERR211843	ERS157206		SAMEA1568471	GCA_001102665.1|human|2001	ERR211843|human|2001
GCA_001105145.1	human	2001	unknown	Canada	Homo sapiens	CH7	ERR211844	ERS157207		SAMEA1568463	GCA_001105145.1|human|2001	ERR211844|human|2001
GCA_001140725.1	human	2001	unknown	Canada	Homo sapiens	CH8	ERR211845	ERS157208		SAMEA1568478	GCA_001140725.1|human|2001	ERR211845|human|2001
GCA_001164125.1	human	2001	unknown	Canada	Homo sapiens	CH9	ERR211846	ERS157209		SAMEA1568539	GCA_001164125.1|human|2001	ERR211846|human|2001
GCA_001162405.1	human	2001	unknown	Canada	Homo sapiens	CH10	ERR211847	ERS157210		SAMEA1568513	GCA_001162405.1|human|2001	ERR211847|human|2001
GCA_001350155.1	human	2001	unknown	Canada	Homo sapiens	CH11	ERR211848	ERS157211		SAMEA1568521	GCA_001350155.1|human|2001	ERR211848|human|2001
GCA_001350075.1	human	2001	unknown	Canada	Homo sapiens	CH12	ERR211849	ERS157212		SAMEA1568506	GCA_001350075.1|human|2001	ERR211849|human|2001
GCA_001129385.1	human	2001	unknown	Canada	Homo sapiens	CH13	ERR211850	ERS157213		SAMEA1568498	GCA_001129385.1|human|2001	ERR211850|human|2001
GCA_001125725.1	human	2001	unknown	Canada	Homo sapiens	CH14	ERR211851	ERS157214		SAMEA1568475	GCA_001125725.1|human|2001	ERR211851|human|2001
GCA_001350035.1	human	2001	unknown	Canada	Homo sapiens	CH15	ERR211852	ERS157215		SAMEA1568461	GCA_001350035.1|human|2001	ERR211852|human|2001
GCA_001120065.1	human	2001	unknown	Canada	Homo sapiens	CH16	ERR211853	ERS157216		SAMEA1568504	GCA_001120065.1|human|2001	ERR211853|human|2001
GCA_001093545.1	human	2001	unknown	Canada	Homo sapiens	CH17	ERR211854	ERS157217		SAMEA1568489	GCA_001093545.1|human|2001	ERR211854|human|2001
GCA_001172145.1	human	2001	unknown	Canada	Homo sapiens	CH18	ERR211855	ERS157218		SAMEA1568494	GCA_001172145.1|human|2001	ERR211855|human|2001
GCA_001116925.1	human	2001	unknown	Canada	Homo sapiens	CH19	ERR211856	ERS157219		SAMEA1568486	GCA_001116925.1|human|2001	ERR211856|human|2001
GCA_001135785.1	human	2001	unknown	Canada	Homo sapiens	CH20	ERR211857	ERS157220		SAMEA1568550	GCA_001135785.1|human|2001	ERR211857|human|2001
GCA_001137885.1	human	2001	unknown	Canada	Homo sapiens	CH21	ERR211858	ERS157221		SAMEA1568515	GCA_001137885.1|human|2001	ERR211858|human|2001
GCA_001161925.1	human	2001	unknown	Canada	Homo sapiens	CH22	ERR211859	ERS157222		SAMEA1568522	GCA_001161925.1|human|2001	ERR211859|human|2001
GCA_001350215.1	human	2001	unknown	Canada	Homo sapiens	CH23	ERR211860	ERS157223		SAMEA1568530	GCA_001350215.1|human|2001	ERR211860|human|2001
GCA_001350055.1	human	2001	unknown	Canada	Homo sapiens	CH24	ERR211861	ERS157224		SAMEA1568490	GCA_001350055.1|human|2001	ERR211861|human|2001
GCA_001111905.1	human	2001	unknown	Canada	Homo sapiens	CH25	ERR211862	ERS157225		SAMEA1568505	GCA_001111905.1|human|2001	ERR211862|human|2001
GCA_001110745.1	human	2001	unknown	Canada	Homo sapiens	CH26	ERR211863	ERS157226		SAMEA1568467	GCA_001110745.1|human|2001	ERR211863|human|2001
GCA_001154285.1	human	2001	unknown	Canada	Homo sapiens	613sCH27	ERR211864	ERS157227		SAMEA1568487	GCA_001154285.1|human|2001	ERR211864|human|2001
GCA_001127885.1	human	2001	unknown	Canada	Homo sapiens	CH28	ERR211865	ERS157228		SAMEA1568541	GCA_001127885.1|human|2001	ERR211865|human|2001
GCA_001350255.1	human	2002	unknown	Canada	Homo sapiens	CH29	ERR211866	ERS157229		SAMEA1568536	GCA_001350255.1|human|2002	ERR211866|human|2002
GCA_001155485.1	human	2002	unknown	Canada	Homo sapiens	CH30	ERR211867	ERS157230		SAMEA1568537	GCA_001155485.1|human|2002	ERR211867|human|2002
GCA_001146465.1	human	2002	unknown	Canada	Homo sapiens	CH31	ERR211868	ERS157231		SAMEA1568466	GCA_001146465.1|human|2002	ERR211868|human|2002
GCA_001085685.1	human	2002	unknown	Canada	Homo sapiens	CH32	ERR211869	ERS157232		SAMEA1568473	GCA_001085685.1|human|2002	ERR211869|human|2002
GCA_001085145.1	human	2002	unknown	Canada	Homo sapiens	613sCH33	ERR211870	ERS157233		SAMEA1568485	GCA_001085145.1|human|2002	ERR211870|human|2002
GCA_001130925.1	human	2002	unknown	Canada	Homo sapiens	CH34	ERR211871	ERS157234		SAMEA1568496	GCA_001130925.1|human|2002	ERR211871|human|2002
GCA_001172545.1	human	2002	unknown	Canada	Homo sapiens	CH35	ERR211872	ERS157235		SAMEA1568509	GCA_001172545.1|human|2002	ERR211872|human|2002
GCA_001350095.1	human	2000	unknown	Canada	Homo sapiens	CH36	ERR211873	ERS157236		SAMEA1568514	GCA_001350095.1|human|2000	ERR211873|human|2000
GCA_001350175.1	human	2000	unknown	Canada	Homo sapiens	CH37	ERR211874	ERS157237		SAMEA1568524	GCA_001350175.1|human|2000	ERR211874|human|2000
GCA_001350235.1	human	2000	unknown	Canada	Homo sapiens	CH38	ERR211875	ERS157238		SAMEA1568534	GCA_001350235.1|human|2000	ERR211875|human|2000
GCA_001350275.1	human	2000	unknown	Canada	Homo sapiens	CH39	ERR211876	ERS157239		SAMEA1568549	GCA_001350275.1|human|2000	ERR211876|human|2000
GCA_001131525.1	human	2000	unknown	Canada	Homo sapiens	CH40	ERR211877	ERS157240		SAMEA1568543	GCA_001131525.1|human|2000	ERR211877|human|2000
GCA_001153005.1	human	2000	unknown	Canada	Homo sapiens	CH41	ERR211878	ERS157241		SAMEA1568523	GCA_001153005.1|human|2000	ERR211878|human|2000
GCA_001350135.1	human	2000	unknown	Canada	Homo sapiens	CH42	ERR211879	ERS157242		SAMEA1568517	GCA_001350135.1|human|2000	ERR211879|human|2000
GCA_001144305.1	human	2000	unknown	Canada	Homo sapiens	CH43	ERR211880	ERS157243		SAMEA1568500	GCA_001144305.1|human|2000	ERR211880|human|2000
GCA_001095425.1	human	2000	unknown	Canada	Homo sapiens	CH44	ERR211881	ERS157244		SAMEA1568511	GCA_001095425.1|human|2000	ERR211881|human|2000
GCA_001159405.1	human	2000	unknown	Canada	Homo sapiens	613sCH45	ERR211882	ERS157245		SAMEA1568497	GCA_001159405.1|human|2000	ERR211882|human|2000
GCA_001119985.1	human	2000	unknown	Canada	Homo sapiens	CH46	ERR211883	ERS157246		SAMEA1568480	GCA_001119985.1|human|2000	ERR211883|human|2000
GCA_001139325.1	human	1999	unknown	Canada	Homo sapiens	CH47	ERR211884	ERS157247		SAMEA1568464	GCA_001139325.1|human|1999	ERR211884|human|1999
GCA_001120665.1	human	1999	unknown	Canada	Homo sapiens	CH48	ERR211885	ERS157248		SAMEA1568540	GCA_001120665.1|human|1999	ERR211885|human|1999
GCA_001164765.1	human	1999	unknown	Canada	Homo sapiens	CH49	ERR211886	ERS157249		SAMEA1568553	GCA_001164765.1|human|1999	ERR211886|human|1999
GCA_001130025.1	human	1999	unknown	Canada	Homo sapiens	CH50	ERR211887	ERS157250		SAMEA1568531	GCA_001130025.1|human|1999	ERR211887|human|1999
GCA_001097045.1	human	1999	unknown	Canada	Homo sapiens	CH51	ERR211888	ERS157251		SAMEA1568477	GCA_001097045.1|human|1999	ERR211888|human|1999
GCA_001221885.1	canine	2004			canine	EWV6	ERR232501	ERS198272		SAMEA1707595	GCA_001221885.1|canine|2004	ERR232501|canine|2004
GCA_001221665.1	bovine	2003			bovine	EWV7	ERR232502	ERS198273		SAMEA1707596	GCA_001221665.1|bovine|2003	ERR232502|bovine|2003
GCA_001214865.1	porcine	2002			porcine	EWV9	ERR232503	ERS198274		SAMEA1707597	GCA_001214865.1|porcine|2002	ERR232503|porcine|2002
GCA_001219525.1	bovine	2004			bovine	EWV8	ERR232504	ERS198275		SAMEA1707598	GCA_001219525.1|bovine|2004	ERR232504|bovine|2004
GCA_001326215.1	human	2005			Homo sapiens	EWH4	ERR232505	ERS198276		SAMEA1707616	GCA_001326215.1|human|2005	ERR232505|human|2005
GCA_001217925.1	human	1994			Homo sapiens	EWH7	ERR232506	ERS198277		SAMEA1707615	GCA_001217925.1|human|1994	ERR232506|human|1994
GCA_001218245.1	human	2000			Homo sapiens	EWH12	ERR232507	ERS198278		SAMEA1707612	GCA_001218245.1|human|2000	ERR232507|human|2000
GCA_001217665.1	ovine	2002			ovine	EWV11	ERR232508	ERS198279		SAMEA1707611	GCA_001217665.1|ovine|2002	ERR232508|ovine|2002
GCA_001565995.1	equine	2004			equine	EWV3	ERR232509	ERS198280		SAMEA1707608	GCA_001565995.1|equine|2004	ERR232509|equine|2004
GCA_001217625.1	avian	2003			chicken	EWV2	ERR232511	ERS198282		SAMEA1707606	GCA_001217625.1|avian|2003	ERR232511|avian|2003
GCA_001220405.1	bovine	2003			bovine	EWV1	ERR232512	ERS198283		SAMEA1707601	GCA_001220405.1|bovine|2003	ERR232512|bovine|2003
GCA_001220365.1	human	2004			Homo sapiens	EWH2	ERR232513	ERS198260		SAMEA1707610	GCA_001220365.1|human|2004	ERR232513|human|2004
GCA_001326235.1	human	2000			Homo sapiens	EWH11	ERR232514	ERS198261		SAMEA1707617	GCA_001326235.1|human|2000	ERR232514|human|2000
GCA_001220225.1	human	2005			Homo sapiens	EWH1	ERR232515	ERS198262		SAMEA1707614	GCA_001220225.1|human|2005	ERR232515|human|2005
GCA_001217965.1	human	1992			Homo sapiens	EWH6	ERR232516	ERS198263		SAMEA1707613	GCA_001217965.1|human|1992	ERR232516|human|1992
GCA_001218445.1	human	1998			Homo sapiens	EWH9	ERR232517	ERS198264		SAMEA1707605	GCA_001218445.1|human|1998	ERR232517|human|1998
GCA_001216565.1	human	1995			Homo sapiens	EWH8	ERR232518	ERS198265		SAMEA1707604	GCA_001216565.1|human|1995	ERR232518|human|1995
GCA_001221385.1	human	1991			Homo sapiens	EWH5	ERR232519	ERS198266		SAMEA1707609	GCA_001221385.1|human|1991	ERR232519|human|1991
GCA_001326195.1	human	2005			Homo sapiens	EWH3	ERR232520	ERS198267		SAMEA1707607	GCA_001326195.1|human|2005	ERR232520|human|2005
GCA_001326175.1	human	1999			Homo sapiens	EWH10	ERR232521	ERS198268		SAMEA1707600	GCA_001326175.1|human|1999	ERR232521|human|1999
GCA_001326155.1	bovine	2002			bovine	EWV10	ERR232522	ERS198269		SAMEA1707599	GCA_001326155.1|bovine|2002	ERR232522|bovine|2002
GCA_001217885.1	avian	1996			poultry	EWV4	ERR232523	ERS198270		SAMEA1707602	GCA_001217885.1|avian|1996	ERR232523|avian|1996
GCA_001565935.1	porcine	2003			porcine	EWV5	ERR232524	ERS198271		SAMEA1707594	GCA_001565935.1|porcine|2003	ERR232524|porcine|2003
GCA_001540845.1	unreported						ERR985368	ERS813258	SO4698-09	SAMEA3506109	GCA_001540845.1|unreported|	ERR985368|unreported|
GCA_002106195.1	other	2012-12-20	water			NY_FSL S10-1237	SRR1023846	SRS498453	NY_FSL S10-1237	SAMN01902503	GCA_002106195.1|water|2012-12-20	SRR1023846|other|2012-12-20
GCA_000430165.1	unreported		missing			08-1736	SRR1029664	SRS454371	CFSAN001158_01	SAMN02212496	GCA_000430165.1|unreported|	SRR1029664|unreported|
GCA_002030775.1	porcine	2011	Pork Chop		Sus sp.	BCW_2247	SRR1060534	SRS519840	BCW_2247	SAMN02368046	GCA_002030775.1|porcine|2011	SRR1060534|porcine|2011
GCA_002030225.1	avian	2011	Chicken Breast		Gallus gallus	BCW_2243	SRR1060535	SRS519839	BCW_2243	SAMN02368043	GCA_002030225.1|avian|2011	SRR1060535|avian|2011
GCA_002030565.1	porcine	2011	Pork Chop		Sus sp.	BCW_2196	SRR1060546	SRS519828	BCW_2196	SAMN02368001	GCA_002030565.1|porcine|2011	SRR1060546|porcine|2011
GCA_002030605.1	avian	2011	Chicken Breast		Gallus gallus	BCW_2192	SRR1060549	SRS519825	BCW_2192	SAMN02367997	GCA_002030605.1|avian|2011	SRR1060549|avian|2011
GCA_002030995.1	avian	2011	Chicken Breast		Gallus gallus	BCW_2187	SRR1060553	SRS519821	BCW_2187	SAMN02367992	GCA_002030995.1|avian|2011	SRR1060553|avian|2011
GCA_002032705.1	porcine	2011	Pork Chop		Sus sp.	BCW_2172	SRR1060561	SRS519813	BCW_2172	SAMN02367979	GCA_002032705.1|porcine|2011	SRR1060561|porcine|2011
GCA_002031265.1	avian	2011	Chicken Wing		Gallus gallus	BCW_2163	SRR1060566	SRS519808	BCW_2163	SAMN02367970	GCA_002031265.1|avian|2011	SRR1060566|avian|2011
GCA_002031925.1	avian	2010	Chicken Breast		Gallus gallus	BCW_2073	SRR1060572	SRS519802	BCW_2073	SAMN02367884	GCA_002031925.1|avian|2010	SRR1060572|avian|2010
GCA_002032065.1	avian	2010	Chicken Breast		Gallus gallus	BCW_2054	SRR1060576	SRS519798	BCW_2054	SAMN02367866	GCA_002032065.1|avian|2010	SRR1060576|avian|2010
GCA_002033135.1	avian	2010	Chicken Breast		Gallus gallus	BCW_2036	SRR1060580	SRS519794	BCW_2036	SAMN02367849	GCA_002033135.1|avian|2010	SRR1060580|avian|2010
GCA_002032435.1	avian	2010	Chicken Breast		Gallus gallus	BCW_2025	SRR1060584	SRS519791	BCW_2025	SAMN02367839	GCA_002032435.1|avian|2010	SRR1060584|avian|2010
GCA_002034905.1	unreported		Missing		Missing	BCW_1583	SRR1060707	SRS519667	BCW_1583	SAMN02367622	GCA_002034905.1|unreported|	SRR1060707|unreported|
GCA_002034965.1	unreported		Missing		Missing	BCW_1581	SRR1060708	SRS519666	BCW_1581	SAMN02367620	GCA_002034965.1|unreported|	SRR1060708|unreported|
GCA_002034975.1	unreported		Missing		Missing	BCW_1580	SRR1060709	SRS519665	BCW_1580	SAMN02367619	GCA_002034975.1|unreported|	SRR1060709|unreported|
GCA_002035055.1	unreported		Missing		Missing	BCW_1571	SRR1060712	SRS519662	BCW_1571	SAMN02367610	GCA_002035055.1|unreported|	SRR1060712|unreported|
GCA_002035105.1	unreported		Missing		Missing	BCW_1570	SRR1060713	SRS519661	BCW_1570	SAMN02367609	GCA_002035105.1|unreported|	SRR1060713|unreported|
GCA_002035115.1	unreported		Missing		Missing	BCW_1569	SRR1060714	SRS519660	BCW_1569	SAMN02367608	GCA_002035115.1|unreported|	SRR1060714|unreported|
GCA_002035135.1	unreported		Missing		Missing	BCW_1567	SRR1060716	SRS519658	BCW_1567	SAMN02367606	GCA_002035135.1|unreported|	SRR1060716|unreported|
GCA_002035445.1	unreported		Missing		Missing	BCW_1564	SRR1060717	SRS519657	BCW_1564	SAMN02367605	GCA_002035445.1|unreported|	SRR1060717|unreported|
GCA_002036205.1	unreported		Missing		Missing	BCW_1511	SRR1060741	SRS519633	BCW_1511	SAMN02367575	GCA_002036205.1|unreported|	SRR1060741|unreported|
GCA_002106175.1	other	2011-02-28	water			NY_FSL S10-1269	SRR1106216	SRS528615	NY_FSL S10-1269	SAMN01902460	GCA_002106175.1|water|2011-02-28	SRR1106216|other|2011-02-28
GCA_002059555.1	human		Missing		Homo sapiens	BCW_3990	SRR1106314	SRS528871	BCW_3990	SAMN02368807	GCA_002059555.1|human|	SRR1106314|human|
GCA_002063225.1	unreported		Missing		Missing	BCW_2861	SRR1106372	SRS528813	BCW_2861	SAMN02368727	GCA_002063225.1|unreported|	SRR1106372|unreported|
GCA_002062795.1	unreported		Missing		Missing	BCW_2836	SRR1106391	SRS528794	BCW_2836	SAMN02368702	GCA_002062795.1|unreported|	SRR1106391|unreported|
GCA_002062935.1	unreported		Missing		Missing	BCW_2825	SRR1106400	SRS528785	BCW_2825	SAMN02368692	GCA_002062935.1|unreported|	SRR1106400|unreported|
GCA_002063425.1	unreported		Missing		Missing	BCW_2824	SRR1106401	SRS528784	BCW_2824	SAMN02368691	GCA_002063425.1|unreported|	SRR1106401|unreported|
GCA_002063625.1	human	2009	Human Blood		Homo sapiens	BCW_2804	SRR1106406	SRS528779	BCW_2804	SAMN02368676	GCA_002063625.1|human|2009	SRR1106406|human|2009
GCA_002065035.1	human	2008	Human		Homo sapiens	BCW_2801	SRR1106408	SRS528777	BCW_2801	SAMN02368673	GCA_002065035.1|human|2008	SRR1106408|human|2008
GCA_002063655.1	avian	2006	Chicken		Gallus gallus	BCW_2800	SRR1106409	SRS528776	BCW_2800	SAMN02368672	GCA_002063655.1|avian|2006	SRR1106409|avian|2006
GCA_002063665.1	human	2003	Human		Homo sapiens	BCW_2798	SRR1106410	SRS528775	BCW_2798	SAMN02368670	GCA_002063665.1|human|2003	SRR1106410|human|2003
GCA_002063715.1	human	2002	Human		Homo sapiens	BCW_2797	SRR1106411	SRS528774	BCW_2797	SAMN02368669	GCA_002063715.1|human|2002	SRR1106411|human|2002
GCA_002063745.1	avian	2000	Chicken		Gallus gallus	BCW_2795	SRR1106412	SRS528773	BCW_2795	SAMN02368667	GCA_002063745.1|avian|2000	SRR1106412|avian|2000
GCA_002063725.1	unreported	1988	Animal liver		Missing	BCW_2793	SRR1106414	SRS528771	BCW_2793	SAMN02368665	GCA_002063725.1|unreported|1988	SRR1106414|unreported|1988
GCA_002030375.1	avian	2011	Chicken Breast		Gallus gallus	BCW_2215	SRR1106581	SRS529002	BCW_2215	SAMN02368019	GCA_002030375.1|avian|2011	SRR1106581|avian|2011
GCA_002031525.1	avian	2010	Ground Turkey		Missing	BCW_2131	SRR1106592	SRS528991	BCW_2131	SAMN02367939	GCA_002031525.1|avian|2010	SRR1106592|avian|2010
GCA_002032775.1	avian	2010	Chicken Breast		Gallus gallus	BCW_2122	SRR1106596	SRS528987	BCW_2122	SAMN02367930	GCA_002032775.1|avian|2010	SRR1106596|avian|2010
GCA_002031565.1	avian	2010	Chicken Breast		Gallus gallus	BCW_2120	SRR1106597	SRS528986	BCW_2120	SAMN02367928	GCA_002031565.1|avian|2010	SRR1106597|avian|2010
GCA_002031675.1	avian	2010	Chicken Breast		Gallus gallus	BCW_2101	SRR1106601	SRS528982	BCW_2101	SAMN02367911	GCA_002031675.1|avian|2010	SRR1106601|avian|2010
GCA_002032875.1	avian	2010	Ground Turkey		Missing	BCW_2095	SRR1106603	SRS528980	BCW_2095	SAMN02367905	GCA_002032875.1|avian|2010	SRR1106603|avian|2010
GCA_002032975.1	avian	2010	Ground Turkey		Missing	BCW_2085	SRR1106605	SRS528978	BCW_2085	SAMN02367895	GCA_002032975.1|avian|2010	SRR1106605|avian|2010
GCA_002032965.1	avian	2010	Chicken Breast		Gallus gallus	BCW_2069	SRR1106608	SRS528975	BCW_2069	SAMN02367880	GCA_002032965.1|avian|2010	SRR1106608|avian|2010
GCA_002066505.1	unreported		Missing		Missing	BCW_2626	SRR1118711	SRS533420	BCW_2626	SAMN02368522	GCA_002066505.1|unreported|	SRR1118711|unreported|
GCA_002066795.1	unreported		Missing		Missing	BCW_2618	SRR1118715	SRS533416	BCW_2618	SAMN02368518	GCA_002066795.1|unreported|	SRR1118715|unreported|
GCA_002060305.1	bovine	1999	Veterinary Diagnostic		Bos taurus	BCW_3401	SRR1122500	SRS536057	BCW_3401	SAMN02368377	GCA_002060305.1|bovine|1999	SRR1122500|bovine|1999
GCA_002061625.1	avian	1999	Veterinary Diagnostic		Meleagris gallopavo	BCW_3397	SRR1122501	SRS536056	BCW_3397	SAMN02368375	GCA_002061625.1|avian|1999	SRR1122501|avian|1999
GCA_002032985.1	avian	2010	Chicken Breast		Missing	BCW_2084	SRR1122638	SRS535919	BCW_2084	SAMN02367894	GCA_002032985.1|avian|2010	SRR1122638|avian|2010
GCA_002033065.1	avian	2010	Chicken Breast		Gallus gallus	BCW_2065	SRR1122647	SRS535910	BCW_2065	SAMN02367877	GCA_002033065.1|avian|2010	SRR1122647|avian|2010
GCA_002031955.1	avian	2010	Chicken Breast		Gallus gallus	BCW_2064	SRR1122648	SRS535909	BCW_2064	SAMN02367876	GCA_002031955.1|avian|2010	SRR1122648|avian|2010
GCA_002032165.1	avian	2010	Chicken Breast		Gallus gallus	BCW_2050	SRR1122657	SRS535900	BCW_2050	SAMN02367862	GCA_002032165.1|avian|2010	SRR1122657|avian|2010
GCA_002032225.1	avian	2010	Chicken Breast		Gallus gallus	BCW_2045	SRR1122662	SRS535894	BCW_2045	SAMN02367857	GCA_002032225.1|avian|2010	SRR1122662|avian|2010
GCA_002033165.1	avian	2010	Chicken Breast		Gallus gallus	BCW_2035	SRR1122666	SRS535890	BCW_2035	SAMN02367848	GCA_002033165.1|avian|2010	SRR1122666|avian|2010
GCA_002034915.1	unreported		Missing		Missing	BCW_1582	SRR1122739	SRS535815	BCW_1582	SAMN02367621	GCA_002034915.1|unreported|	SRR1122739|unreported|
GCA_002035045.1	unreported		Missing		Missing	BCW_1575	SRR1122741	SRS535812	BCW_1575	SAMN02367614	GCA_002035045.1|unreported|	SRR1122741|unreported|
GCA_002035025.1	unreported		Missing		Missing	BCW_1574	SRR1122742	SRS535813	BCW_1574	SAMN02367613	GCA_002035025.1|unreported|	SRR1122742|unreported|
GCA_002058205.1	human	2007	Missing		Homo sapiens	BCW_4352	SRR1133231	SRS538857	BCW_4352	SAMN02368952	GCA_002058205.1|human|2007	SRR1133231|human|2007
GCA_002058595.1	human	2010	Missing		Homo sapiens	BCW_4346	SRR1133234	SRS538854	BCW_4346	SAMN02368947	GCA_002058595.1|human|2010	SRR1133234|human|2010
GCA_000336215.1	unreported		missing			LT2-4	SRR1176802	SRS561770	LT2-4	SAMN02664995	GCA_000336215.1|unreported|	SRR1176802|unreported|
GCA_000786025.1	unreported		missing			86-0368	SRR1176804	SRS561772	86-0368	SAMN02664993	GCA_000786025.1|unreported|	SRR1176804|unreported|
GCA_001042425.1	human	2013-09-24	feces		Homo sapiens	smonpas0023280	SRR1649143	SRS738289	smonpas0023280	SAMN03162139	GCA_001042425.1|human|2013-09-24	SRR1649143|human|2013-09-24
GCA_001026705.1	human	2013-11-29	feces		Homo sapiens	smonpas0031082	SRR1649144	SRS743249	smonpas0031082	SAMN03162140	GCA_001026705.1|human|2013-11-29	SRR1649144|human|2013-11-29
GCA_001034565.1	human	2013-10-23	feces		Homo sapiens	smonpas001102-13	SRR1649145	SRS743250	smonpas001102-13	SAMN03162141	GCA_001034565.1|human|2013-10-23	SRR1649145|human|2013-10-23
GCA_001034545.1	human	2014-02-02	feces		Homo sapiens	smonpas003168-4	SRR1649148	SRS738290	smonpas003168-4	SAMN03162144	GCA_001034545.1|human|2014-02-02	SRR1649148|human|2014-02-02
GCA_001034585.1	human	2014-02-06	feces		Homo sapiens	smonpas003168-5	SRR1649149	SRS743253	smonpas003168-5	SAMN03162145	GCA_001034585.1|human|2014-02-06	SRR1649149|human|2014-02-06
GCA_001034615.1	human	2014-01-24	feces		Homo sapiens	smonpas004260-8	SRR1649150	SRS743254	smonpas004260-8	SAMN03162146	GCA_001034615.1|human|2014-01-24	SRR1649150|human|2014-01-24
GCA_001034595.1	human	2014-01-24	feces		Homo sapiens	smonpas004260-10	SRR1649151	SRS743255	smonpas004260-10	SAMN03162147	GCA_001034595.1|human|2014-01-24	SRR1649151|human|2014-01-24
GCA_001034525.1	human	2014-01-24	feces		Homo sapiens	smonpas004260-1	SRR1649152	SRS743256	smonpas004260-1	SAMN03162148	GCA_001034525.1|human|2014-01-24	SRR1649152|human|2014-01-24
GCA_001034605.1	human	2014-01-29	feces		Homo sapiens	smonpas003168-1	SRR1649154	SRS743258	smonpas003168-1	SAMN03162150	GCA_001034605.1|human|2014-01-29	SRR1649154|human|2014-01-29
GCA_001027585.1	other	2014-03-31	sewage			smonpas008251-3	SRR1649155	SRS743259	smonpas008251-3	SAMN03162151	GCA_001027585.1|other|2014-03-31	SRR1649155|other|2014-03-31
GCA_001027595.1	other	2014-04-02	sewage			smonpas008251-5	SRR1649157	SRS743261	smonpas008251-5	SAMN03162153	GCA_001027595.1|other|2014-04-02	SRR1649157|other|2014-04-02
GCA_001038105.1	other	2014-04-29	Superficial water			smonpas009854	SRR1649159	SRS743263	smonpas009854	SAMN03162155	GCA_001038105.1|water|2014-04-29	SRR1649159|other|2014-04-29
GCA_001027605.1	other	2014-04-29	sewage			smonpas009865-1	SRR1649160	SRS738291	smonpas009865-1	SAMN03162156	GCA_001027605.1|other|2014-04-29	SRR1649160|other|2014-04-29
GCA_001027615.1	human	2014-01-03	feces		Homo sapiens	smonpas001102-2	SRR1649161	SRS743264	smonpas001102-2	SAMN03162157	GCA_001027615.1|human|2014-01-03	SRR1649161|human|2014-01-03
GCA_001038115.1	human	2014-01-01	feces		Homo sapiens	smonpas001102-11	SRR1649162	SRS743265	smonpas001102-11	SAMN03162158	GCA_001038115.1|human|2014-01-01	SRR1649162|human|2014-01-01
GCA_001038085.1	human	2014-03-12	feces		Homo sapiens	smonpas007416-3	SRR1649163	SRS743266	smonpas007416-3	SAMN03162159	GCA_001038085.1|human|2014-03-12	SRR1649163|human|2014-03-12
GCA_001038095.1	human	2014-03-12	feces		Homo sapiens	smonpas007416-4	SRR1649164	SRS743267	smonpas007416-4	SAMN03162160	GCA_001038095.1|human|2014-03-12	SRR1649164|human|2014-03-12
GCA_001038035.1	human	2014-01-24	feces		Homo sapiens	smonpas004260-17	SRR1649165	SRS743268	smonpas004260-17	SAMN03162161	GCA_001038035.1|human|2014-01-24	SRR1649165|human|2014-01-24
GCA_001038165.1	human	2014-03-25	feces		Homo sapiens	smonpas006644-5	SRR1649166	SRS738292	smonpas006644-5	SAMN03162162	GCA_001038165.1|human|2014-03-25	SRR1649166|human|2014-03-25
GCA_001457365.1	avian	2005-05-01	chicken whole broiler carcass			ST221_31B	SRR1686737	SRS775470	Salmonella Typhimurium ST221_31B	SAMN03247169	GCA_001457365.1|avian|2005-05-01	SRR1686737|avian|2005-05-01
GCA_002035035.1	unreported		Missing		Missing	BCW_1572	SRR1840571	SRS865452	BCW_1572	SAMN02367611	GCA_002035035.1|unreported|	SRR1840571|unreported|
